"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.64646005867177e-231,1.19015798863255,0.881,0.53,6.56851386562334e-227,"0","PRDX1"
7.25510818404332e-231,1.30384610678099,0.795,0.4,1.80071785127955e-226,"0","CSF1R"
6.96150039808787e-227,1.27439799667435,0.832,0.438,1.72784439880541e-222,"0","CTSZ"
2.85680054894181e-223,1.00248569801465,0.853,0.464,7.09057896247356e-219,"0","NPC2"
9.11010948752928e-221,0.905757327968118,0.977,0.651,2.26112917480477e-216,"0","IFI30"
1.42188780545106e-220,1.37690967226988,0.752,0.366,3.52912553312954e-216,"0","HEXB"
9.21820348749175e-220,0.972879426219573,0.923,0.487,2.28795810559545e-215,"0","LOC102122418"
6.27624070530525e-213,1.24731262604003,0.741,0.349,1.55776294305676e-208,"0","FN1"
1.13186472469484e-210,1.06960803433284,0.89,0.585,2.8092882466926e-206,"0","CTSA"
1.79642677981141e-207,1.23596314031811,0.694,0.308,4.45873126749191e-203,"0","OLR1"
5.43621483016642e-195,1.05958821692174,0.809,0.416,1.34926852084731e-190,"0","C5AR1"
8.19760554620405e-194,1.11807922241661,0.731,0.356,2.03464569656785e-189,"0","CTSL"
2.15065605345424e-193,1.40045873141308,0.595,0.233,5.33792832467343e-189,"0","MS4A7"
3.04657692228205e-191,0.827020197781478,0.942,0.59,7.56160392110406e-187,"0","LOC102136468"
3.88416466730387e-191,1.39478448652218,0.651,0.298,9.64049670424821e-187,"0","KCTD12"
8.51990611864931e-187,1.00788495491453,0.86,0.517,2.11464069864876e-182,"0","LAMP1"
2.50815493775629e-186,1.41986282711158,0.636,0.28,6.22524055551112e-182,"0","NUPR1"
9.35303677707434e-184,2.09541202958838,0.44,0.149,2.32142372806985e-179,"0","TREM2"
3.52140919673016e-182,0.820078911333092,0.93,0.588,8.74013762628427e-178,"0","CTSH"
4.69604021409496e-182,1.19075003433655,0.706,0.348,1.16555718113837e-177,"0","IGSF6"
2.29193988223135e-180,1.05646848924263,0.798,0.436,5.68859478769821e-176,"0","AIF1"
4.79600298481334e-174,1.33494672244842,0.664,0.325,1.19036794083067e-169,"0","TNFSF13"
8.61983105392558e-174,1.11521000516116,0.735,0.374,2.13944206758433e-169,"0","CREG1"
1.89418655438164e-170,1.55516015461918,0.564,0.24,4.70137102797523e-166,"0","LHFPL2"
4.76308256661375e-165,1.02713155949937,0.778,0.444,1.18219709303353e-160,"0","LOC102139994"
3.27728582246105e-164,1.11164494911293,0.766,0.437,8.13422341134832e-160,"0","CNDP2"
